title,region,category,year,km,price
Peugeot Traveller Businnes L3,Libertador B. O'Higgins,furgon,2019,16.550 Km,19.500.000
Peugeot Partner Vu M59 Hdi 1.6 2008,RM (Metropolitana),furgon,2008,307.000 Km,2.980.000
Gac Govow Way 13cc Carga,Valparaíso,furgon,2016,88.000 Km,4.850.000
Kia Sportage Americana,RM (Metropolitana),furgon,2003,10.000 Km,10.000
Chevrolet N300 Max Van 1.2,RM (Metropolitana),furgon,2018,48.000 Km,6.980.000
Hyundai Porter Hr 2.5 Furgón Carga General,RM (Metropolitana),furgon,2007,217.000 Km,8.390.000
Hyundai Porter 2.5 Crdi Furgón Carga General Rhin,RM (Metropolitana),furgon,2015,124.000 Km,14.980.000
Volkswagen Kombi 1.6,Los Lagos,furgon,1996,83.216 Km,7.290.000
Peugeot Partner Hdi 1.6,Los Lagos,furgon,2018,43.606 Km,11.390.000
Renault Dokker Dokker Iii 1.6,Libertador B. O'Higgins,furgon,2016,116.000 Km,7.390.000
Peugeot Partner Maxi Hdi 1.6,RM (Metropolitana),furgon,2012,280.000 Km,6.480.000
Peugeot Bipper 1.4 7.5 Hp,Los Lagos,furgon,2014,194.066 Km,5.390.000
Citroën Berlingo 1.6 Hdi,Los Lagos,furgon,2017,76.602 Km,9.890.000
Citroën Berlingo 1.6 Hdi Vu Bvm5 Aa 2ab Corto,Maule,furgon,2017,262.000 Km,8.990.000
Peugeot Nueva Partner 1.6 Hdi,Los Lagos,furgon,2017,55.610 Km,10.890.000
Iveco New Daily 35s,RM (Metropolitana),furgon,2017,104.000 Km,18.980.000
Jac Sunray 2.8,RM (Metropolitana),furgon,2017,88.000 Km,16.980.000
Volkswagen Transporter Kombi Tdi,Los Lagos,furgon,2012,345.684 Km,8.690.000
Chevrolet N300 Max Van Furgon,Valparaíso,furgon,2012,247.000 Km,3.490.000
Mahindra Cabina Simple Pick Up Xl D/c 4x2 Ev,Libertador B. O'Higgins,furgon,2014,68.000 Km,4.990.000
Hyundai H1 2.5 Crdi Gls,RM (Metropolitana),furgon,2017,235.000 Km,15.980.000
Kia Frontier Kia Frontier Ii 2.5 4x2 Plus Dh,RM (Metropolitana),furgon,2015,105.831 Km,11.900.000
Hyundai Porter Hyundai Porter 2.5 4x2 Dsl Std,RM (Metropolitana),furgon,2018,116.500 Km,14.900.000
Peugeot Partner Peugeot Partner 1.6 4x2 Dsl Hdi 90hp,RM (Metropolitana),furgon,2016,105.835 Km,7.900.000
Peugeot Partner Peugeot Partner 1.6 4x2 Dsl Hdi 90hp,RM (Metropolitana),furgon,2014,79.635 Km,7.500.000
Peugeot Partner Peugeot Partner 1.6 4x2 Dsl Ab2 90 Hp,La Araucanía,furgon,2017,148.303 Km,8.900.000
Mercedes-benz Sprinter 315 Mercedes Benz Sprinter 315 2.2 4x2,RM (Metropolitana),furgon,2015,168.463 Km,16.900.000
Peugeot Boxer Peugeot Boxer 2.2 4x2 L2h2 Hdi,RM (Metropolitana),furgon,2018,116.406 Km,15.900.000
Citroën Berlingo 1.9 Hdi,Libertador B. O'Higgins,furgon,2007,350.000 Km,2.600.000
Hafei Ruiyi 1.3,RM (Metropolitana),furgon,2008,100.000 Km,100.000
Peugeot Partner Peugeot Partner 1.6 4x2 Dsl Ab2 90hp,RM (Metropolitana),furgon,2018,37.186 Km,9.500.000
Peugeot Partner L1,La Araucanía,furgon,2020,1 Km,16.490.000
Suzuki Apv Camioneta,RM (Metropolitana),furgon,2014,100.000 Km,50.000
Suzuki Sk 410 1995,RM (Metropolitana),furgon,1996,999.999 Km,400.000
Ford Windstar At Full A/c,Valparaíso,furgon,1998,160.000 Km,3.190.000
Lada Largus 1.6,Los Ríos,furgon,2020,1 Km,7.960.000
Peugeot Expert L3 Hdi 150,Libertador B. O'Higgins,furgon,2020,0 Km,18.990.000
Fiat Fiorino Fire 1.3,RM (Metropolitana),furgon,2014,89.029 Km,3.500.000
Peugeot Partner L1 Hdi 90,Libertador B. O'Higgins,furgon,2020,0 Km,14.190.000
Peugeot Partner L2 Hdi 90 Hp,Libertador B. O'Higgins,furgon,2020,0 Km,14.990.000
Lada Largus Full Equipo,RM (Metropolitana),furgon,2019,0 Km,6.400.000
Peugeot Boxer L3h2 2.2 Diesel,RM (Metropolitana),furgon,2015,126.887 Km,13.980.000
Lada Largus Cargo,RM (Metropolitana),furgon,2019,0 Km,6.817.000
Volkswagen Kombi Kombi 211,RM (Metropolitana),furgon,1996,150.000 Km,4.500.000
Iveco Daily 40-10,RM (Metropolitana),furgon,2005,180.000 Km,5.500.000
